uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,eventID,processingDate,massSampleIDList,massSampleMixtureID,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleBarcode,bgcArchiveMass,toxicodendronPossible,remarks,processedBy
"1f3421f4-06df-4f40-9cda-f82328fa1bc3","BART_071.basePlot.ltr","D01","BART","BART_071","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART071952.20161010.LVS|NEON.LTR.BART071382.20161010.LVS","NEON.LTR.BART071.20161010.LVS","NEON.LTR.BART071.20161010.LVS.CN",,,,"NEON.LTR.BART071.20161010.LVS.AR","A00000368116",,,,"mday@field-ops.org"
"949c5085-de95-4474-aaa0-4703aa615920","BART_073.basePlot.ltr","D01","BART","BART_073","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART073409.20161010.NDL|NEON.LTR.BART073539.20161010.NDL","NEON.LTR.BART073.20161010.NDL","NEON.LTR.BART073.20161010.NDL.CN",,"NEON.LTR.BART073.20161010.NDL.LIG",,,,,,,"mday@field-ops.org"
"70f57063-9416-4ced-ab18-9a502c3b1280","BART_041.basePlot.ltr","D01","BART","BART_041","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART041292.20161010.LVS","NEON.LTR.BART041.20161010.LVS","NEON.LTR.BART041.20161010.LVS.CN",,,,"NEON.LTR.BART041.20161010.LVS.AR","A00000368128",,,,"mday@field-ops.org"
"4f06d5fc-ab32-4899-a561-f21667194bf4","BART_034.basePlot.ltr","D01","BART","BART_034","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART034531.20161010.LVS|NEON.LTR.BART034451.20161010.LVS","NEON.LTR.BART034.20161010.LVS","NEON.LTR.BART034.20161010.LVS.CN",,,,"NEON.LTR.BART034.20161010.LVS.AR","A00000368134",,,,"mday@field-ops.org"
"0b655dd2-e3a6-4089-8457-ba612cf2c964","BART_041.basePlot.ltr","D01","BART","BART_041","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART041292.20161010.NDL","NEON.LTR.BART041.20161010.NDL","NEON.LTR.BART041.20161010.NDL.CN",,,,"NEON.LTR.BART041.20161010.NDL.AR","A00000368127",,,,"mday@field-ops.org"
"dd768232-21ea-4f03-a398-c7776e546409","BART_039.basePlot.ltr","D01","BART","BART_039","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART039930.20161010.LVS","NEON.LTR.BART039.20161010.LVS","NEON.LTR.BART039.20161010.LVS.CN",,,,"NEON.LTR.BART039.20161010.LVS.AR","A00000368131",,,,"mday@field-ops.org"
"9e67cf85-2667-4cbc-b08e-628ac3f701f2","BART_039.basePlot.ltr","D01","BART","BART_039","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART039930.20161010.NDL","NEON.LTR.BART039.20161010.NDL","NEON.LTR.BART039.20161010.NDL.CN",,,,"NEON.LTR.BART039.20161010.NDL.AR","A00000368130",,,,"mday@field-ops.org"
"d8e5bd6b-6703-444d-a891-c43038ef7b8a","BART_073.basePlot.ltr","D01","BART","BART_073","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART073409.20161010.LVS|NEON.LTR.BART073539.20161010.LVS","NEON.LTR.BART073.20161010.LVS","NEON.LTR.BART073.20161010.LVS.CN",,,,"NEON.LTR.BART073.20161010.LVS.AR","A00000368113",,,,"mday@field-ops.org"
"91fc5e4f-a5f8-4571-9188-dbfdb1748b1d","BART_032.basePlot.ltr","D01","BART","BART_032","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART032293.20161010.LVS","NEON.LTR.BART032.20161010.LVS","NEON.LTR.BART032.20161010.LVS.CN",,"NEON.LTR.BART032.20161010.LVS.LIG",,,,,,,"mday@field-ops.org"
"c9363118-7d0d-4081-9916-dbf0ddc9293a","BART_032.basePlot.ltr","D01","BART","BART_032","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART032293.20161010.NDL","NEON.LTR.BART032.20161010.NDL","NEON.LTR.BART032.20161010.NDL.CN",,,,,,,,,"mday@field-ops.org"
"c4c4dbaf-b121-49b2-922c-4a9dbde10ab1","BART_071.basePlot.ltr","D01","BART","BART_071","2016-09-19","2016-10-10",,"2016-11-17","NEON.LTR.BART071952.20161010.NDL|NEON.LTR.BART071382.20161010.NDL","NEON.LTR.BART071.20161010.NDL","NEON.LTR.BART071.20161010.NDL.CN",,,,"NEON.LTR.BART071.20161010.NDL.AR","A00000368115",,,,"mday@field-ops.org"
"28de8b4d-f83a-4193-9659-aa35f8611cc3","BART_070.basePlot.ltr","D01","BART","BART_070","2016-09-19","2016-10-11",,"2016-11-16","NEON.LTR.BART070553.20161011.NDL|NEON.LTR.BART070790.20161011.NDL","NEON.LTR.BART070.20161011.NDL","NEON.LTR.BART070.20161011.NDL.CN",,,,"NEON.LTR.BART070.20161011.NDL.AR","A00000368117",,,,"mday@field-ops.org"
"64be8fa9-6c2a-4f23-8d61-f78f702b1349","BART_033.basePlot.ltr","D01","BART","BART_033","2016-09-19","2016-10-11",,"2016-11-17","NEON.LTR.BART033923.20161011.NDL|NEON.LTR.BART033453.20161011.NDL","NEON.LTR.BART033.20161011.NDL","NEON.LTR.BART033.20161011.NDL.CN",,,,,,,,,"mday@field-ops.org"
"b44bb543-0f8a-4eac-bb99-f80824e73a5c","BART_033.basePlot.ltr","D01","BART","BART_033","2016-09-19","2016-10-11",,"2016-11-17","NEON.LTR.BART033923.20161011.LVS|NEON.LTR.BART033453.20161011.LVS","NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.CN",,"NEON.LTR.BART033.20161011.LVS.LIG",,,,,,,"mday@field-ops.org"
"d270b126-6d96-4730-a3cb-2ee21c150794","BART_070.basePlot.ltr","D01","BART","BART_070","2016-09-19","2016-10-11",,"2016-11-17","NEON.LTR.BART070790.20161011.LVS|NEON.LTR.BART070553.20161011.LVS","NEON.LTR.BART070.20161011.LVS","NEON.LTR.BART070.20161011.LVS.CN",,,,,,,,,"mday@field-ops.org"
"f300e78e-49b2-42bf-8bb8-e69f6f86cf0f","BART_047.basePlot.ltr","D01","BART","BART_047","2016-09-20","2016-10-10",,"2016-11-17","NEON.LTR.BART047046.20161010.NDL|NEON.LTR.BART047864.20161010.NDL","NEON.LTR.BART047.20161010.NDL","NEON.LTR.BART047.20161010.NDL.CN",,,,"NEON.LTR.BART047.20161010.NDL.AR","A00000368122",,,,"mday@field-ops.org"
"4dc00861-7e32-466c-8721-45719215f137","BART_051.basePlot.ltr","D01","BART","BART_051","2016-09-20","2016-10-10",,"2016-11-17","NEON.LTR.BART051574.20161010.LVS","NEON.LTR.BART051.20161010.LVS","NEON.LTR.BART051.20161010.LVS.CN",,,,"NEON.LTR.BART051.20161010.LVS.AR","A00000368119",,,,"mday@field-ops.org"
"9444275f-3240-4ec6-aeea-43cfd6c1c6c3","BART_051.basePlot.ltr","D01","BART","BART_051","2016-09-20","2016-10-10",,"2016-11-17","NEON.LTR.BART051574.20161010.NDL","NEON.LTR.BART051.20161010.NDL","NEON.LTR.BART051.20161010.NDL.CN",,,,"NEON.LTR.BART051.20161010.NDL.AR","A00000368118",,,,"mday@field-ops.org"
"1cdcde09-37b0-4c51-b9e0-bf7d3f979f21","BART_047.basePlot.ltr","D01","BART","BART_047","2016-09-20","2016-10-10",,"2016-11-17","NEON.LTR.BART047046.20161010.LVS|NEON.LTR.BART047864.20161010.LVS","NEON.LTR.BART047.20161010.LVS","NEON.LTR.BART047.20161010.LVS.CN",,,,"NEON.LTR.BART047.20161010.LVS.AR","A00000368123",,,,"mday@field-ops.org"
"6c75e037-31ad-4eeb-bb20-eb9986e0fbcb","BART_040.basePlot.ltr","D01","BART","BART_040","2016-09-20","2016-10-10",,"2016-11-17","NEON.LTR.BART040884.20161010.LVS|NEON.LTR.BART040158.20161010.LVS","NEON.LTR.BART040.20161010.LVS","NEON.LTR.BART040.20161010.LVS.CN",,,,"NEON.LTR.BART040.20161010.LVS.AR","A00000368129",,,,"mday@field-ops.org"
"48650caf-3088-499d-8a47-2641061d25b2","BART_044.basePlot.ltr","D01","BART","BART_044","2016-09-20","2016-10-11",,"2016-11-17","NEON.LTR.BART044531.20161011.NDL|NEON.LTR.BART044410.20161011.NDL","NEON.LTR.BART044.20161011.NDL","NEON.LTR.BART044.20161011.NDL.CN",,,,"NEON.LTR.BART044.20161011.NDL.AR","A00000368125",,,,"mday@field-ops.org"
"ee12fc11-99dc-4390-9f60-9ffd113ed5b2","BART_042.basePlot.ltr","D01","BART","BART_042","2016-09-20","2016-10-11",,"2016-11-17","NEON.LTR.BART042935.20161011.NDL|NEON.LTR.BART042587.20161011.NDL","NEON.LTR.BART042.20161011.NDL","NEON.LTR.BART042.20161011.NDL.CN",,"NEON.LTR.BART042.20161011.NDL.LIG",,,,,,,"mday@field-ops.org"
"47897234-6f95-4caf-9f45-46be7a10052c","BART_072.basePlot.ltr","D01","BART","BART_072","2016-09-20","2016-10-11",,"2016-11-17","NEON.LTR.BART072162.20161011.LVS|NEON.LTR.BART072567.20161011.LVS","NEON.LTR.BART072.20161011.LVS","NEON.LTR.BART072.20161011.LVS.CN",,,,"NEON.LTR.BART072.20161011.LVS.AR","A00000368114",,,,"mday@field-ops.org"
"c4aecc48-93fd-424f-bebd-f57c4c666556","BART_074.basePlot.ltr","D01","BART","BART_074","2016-09-20","2016-10-11",,"2016-11-17","NEON.LTR.BART074942.20161011.LVS|NEON.LTR.BART074555.20161011.LVS","NEON.LTR.BART074.20161011.LVS","NEON.LTR.BART074.20161011.LVS.CN",,,,"NEON.LTR.BART074.20161011.LVS.AR","A00000368112",,,,"mday@field-ops.org"
"d102e180-2b07-4a62-957f-8f3ff6bfc82a","BART_044.basePlot.ltr","D01","BART","BART_044","2016-09-20","2016-10-11",,"2016-11-17","NEON.LTR.BART044410.20161011.LVS|NEON.LTR.BART044531.20161011.LVS","NEON.LTR.BART044.20161011.LVS","NEON.LTR.BART044.20161011.LVS.CN",,"NEON.LTR.BART044.20161011.LVS.LIG",,,,,,,"mday@field-ops.org"
"43452733-6fcd-467d-930a-f7dea2297a03","BART_075.basePlot.ltr","D01","BART","BART_075","2016-09-20","2016-10-11",,"2016-11-17","NEON.LTR.BART075389.20161011.LVS|NEON.LTR.BART075819.20161011.LVS","NEON.LTR.BART075.20161011.LVS","NEON.LTR.BART075.20161011.LVS.CN",,"NEON.LTR.BART075.20161011.LVS.LIG",,,,,,,"mday@field-ops.org"
"0247e7dd-84ef-4d2f-ba46-5b63e0d257af","BART_046.basePlot.ltr","D01","BART","BART_046","2016-09-20","2016-10-11",,"2016-11-17","NEON.LTR.BART046687.20161011.LVS|NEON.LTR.BART046852.20161011.LVS","NEON.LTR.BART046.20161011.LVS","NEON.LTR.BART046.20161011.LVS.CN",,,,"NEON.LTR.BART046.20161011.LVS.AR","A00000368124",,,,"mday@field-ops.org"
